,personid,year_week,expgroup,perform1,Selected,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ
0,28560,201001.0,0.0,,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
1,28560,201002.0,0.0,,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
2,28560,201003.0,0.0,,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
3,28560,201004.0,0.0,-0.8162962,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
4,28560,201005.0,0.0,0.14179201,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
5,28560,201006.0,0.0,-1.6272919,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
6,28560,201007.0,0.0,-0.899781,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
7,28560,201009.0,0.0,-1.170113,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
8,28560,201010.0,0.0,0.43995225,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
9,28560,201011.0,0.0,0.68643135,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
10,28560,201012.0,0.0,0.76991624,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
11,28560,201013.0,0.0,0.8255728,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
12,28560,201014.0,0.0,-0.1046871,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
13,28560,201016.0,0.0,1.1595123,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
14,28560,201017.0,0.0,0.6188484,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
15,28560,201018.0,0.0,-0.69305664,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
16,28560,201019.0,0.0,-0.11263804,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
17,28560,201020.0,0.0,-0.049030524,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
18,28560,201021.0,0.0,0.7420879,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
19,28560,201022.0,0.0,0.48368242,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
20,28560,201023.0,0.0,0.7659407,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
21,28560,201024.0,0.0,0.53138804,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
22,28560,201025.0,0.0,0.3008108,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
23,28560,201026.0,0.0,-0.24382854,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
24,28560,201027.0,0.0,0.06625809,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
25,28560,201028.0,0.0,0.3922466,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
26,28560,201029.0,0.0,0.20142406,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
27,28560,201030.0,0.0,1.461648,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
28,28560,201031.0,0.0,0.22925234,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
29,28560,201032.0,0.0,0.28490892,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
30,28560,201033.0,0.0,1.4656235,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
31,28560,201034.0,0.0,-0.16829461,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
32,28560,201035.0,0.0,0.046380747,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
33,28560,201036.0,0.0,-0.21997572,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
34,28560,201037.0,0.0,0.9766407,1,20.0,27.0,2.999709,no,yes,160.0,0.0,0.0,1.0,1.0
