,TUCASEID,LEJF_11,LEJF_12,LEJF_13,LEJF_14
0,20170101170002,-1,-1,-1,-1
1,20170101170030,-1,-1,-1,-1
2,20170101170033,-1,-1,-1,-1
3,20170101170090,-1,-1,-1,-1
4,20170101170149,-1,-1,-1,-1
5,20170101170520,-1,-1,-1,-1
6,20170101170522,-1,-1,-1,-1
7,20170101170552,-1,-1,-1,-1
8,20170101170572,-1,-1,-1,-1
9,20170101170574,1,2,5,1
10,20170101170595,1,1,2,1
11,20170101170598,-1,-1,-1,-1
12,20170101170651,-1,-1,-1,-1
13,20170101170687,-1,-1,-1,-1
14,20170101170688,2,-1,-1,-1
15,20170101170793,1,1,3,1
16,20170101170795,-1,-1,-1,-1
17,20170101170799,-1,-1,-1,-1
18,20170101170801,-1,-1,-1,-1
19,20170101170806,-1,-1,-1,-1
20,20170101170819,-1,-1,-1,-1
21,20170101170830,1,1,3,1
22,20170101170834,-1,-1,-1,-1
23,20170101170842,-1,-1,-1,-1
24,20170101170855,1,1,2,2
25,20170101170887,-1,-1,-1,-1
26,20170101170902,1,1,1,1
27,20170101170921,-1,-1,-1,-1
28,20170101170933,-1,-1,-1,-1
29,20170101170951,-1,-1,-1,-1
30,20170101170970,-1,-1,-1,-1
31,20170101170977,-1,-1,-1,-1
32,20170101170989,-1,-1,-1,-1
33,20170101171125,-1,-1,-1,-1
34,20170101171149,-1,-1,-1,-1
35,20170101171212,1,1,5,1
36,20170101171213,-1,-1,-1,-1
37,20170101171233,1,1,4,1
38,20170101171234,-1,-1,-1,-1
39,20170101171280,1,1,3,1
40,20170101171343,2,-1,-1,-1
41,20170101171360,1,1,1,1
42,20170101171391,-1,-1,-1,-1
43,20170101171401,-1,-1,-1,-1
44,20170101171458,-1,-1,-1,-1
45,20170101171468,-1,-1,-1,-1
46,20170101171491,1,2,1,2
47,20170101171534,-1,-1,-1,-1
48,20170101171563,-1,-1,-1,-1
49,20170101171571,1,1,5,1
50,20170101171573,-1,-1,-1,-1
51,20170101171589,-1,-1,-1,-1
52,20170101171629,-1,-1,-1,-1
53,20170101171648,1,1,3,2
54,20170101171681,-1,-1,-1,-1
55,20170101171686,1,1,3,2
56,20170101171687,-1,-1,-1,-1
57,20170101171729,-1,-1,-1,-1
58,20170101171756,1,1,1,1
59,20170101171774,-1,-1,-1,-1
60,20170101171812,1,2,3,2
61,20170101171823,-1,-1,-1,-1
62,20170101171839,-1,-1,-1,-1
63,20170101171857,-1,-1,-1,-1
64,20170101171876,-1,-1,-1,-1
65,20170101171888,-1,-1,-1,-1
66,20170101171892,1,1,5,1
67,20170101171903,-1,-1,-1,-1
68,20170101171906,1,1,3,1
69,20170101171946,1,1,4,1
70,20170101172007,-1,-1,-1,-1
71,20170101172019,-1,-1,-1,-1
72,20170101172023,1,2,1,2
73,20170101172036,1,1,6,2
74,20170101172037,1,1,5,1
75,20170101172049,-1,-1,-1,-1
76,20170101172054,1,1,3,2
77,20170101172081,-1,-1,-1,-1
78,20170101172125,1,1,1,1
79,20170101172172,-1,-1,-1,-1
80,20170101172175,-1,-1,-1,-1
81,20170101172191,-1,-1,-1,-1
82,20170101172205,1,2,1,1
83,20170101172211,-1,-1,-1,-1
84,20170101172222,-1,-1,-1,-1
85,20170101172250,1,1,5,1
86,20170101172256,1,2,3,2
87,20170101172258,-1,-1,-1,-1
88,20170101172295,-1,-1,-1,-1
89,20170101172349,1,1,5,1
90,20170101172350,-1,-1,-1,-1
91,20170101172397,1,1,5,1
92,20170101172400,-1,-1,-1,-1
93,20170101172402,1,1,2,1
94,20170101172412,-1,-1,-1,-1
95,20170101172431,-1,-1,-1,-1
96,20170101172452,1,1,7,1
97,20170101172541,-1,-1,-1,-1
98,20170110161694,-1,-1,-1,-1
99,20170111160017,1,1,4,1
100,20170111160018,-1,-1,-1,-1
101,20170111160023,-1,-1,-1,-1
102,20170111160025,-1,-1,-1,-1
103,20170111160156,-1,-1,-1,-1
104,20170111160574,-1,-1,-1,-1
105,20170111160579,1,1,4,1
106,20170111160582,-1,-1,-1,-1
107,20170111160637,-1,-1,-1,-1
108,20170111160692,2,-1,-1,-1
109,20170111160706,-1,-1,-1,-1
110,20170111160707,-1,-1,-1,-1
111,20170111160718,-1,-1,-1,-1
112,20170111160728,1,1,1,2
113,20170111160730,-1,-1,-1,-1
114,20170111160746,-1,-1,-1,-1
115,20170111160755,-1,-1,-1,-1
116,20170111160758,-1,-1,-1,-1
117,20170111160768,-1,-1,-1,-1
118,20170111160777,-1,-1,-1,-1
119,20170111160794,-1,-1,-1,-1
120,20170111160813,1,1,5,1
121,20170111160819,1,2,5,2
122,20170111160846,-1,-1,-1,-1
123,20170111160856,-1,-1,-1,-1
124,20170111160866,1,1,4,1
125,20170111160914,1,1,5,1
126,20170111160970,-1,-1,-1,-1
127,20170111160979,-1,-1,-1,-1
128,20170111160985,1,1,3,2
129,20170111160989,-1,-1,-1,-1
130,20170111161009,1,3,3,1
131,20170111161011,2,-1,-1,-1
132,20170111161025,-1,-1,-1,-1
133,20170111161027,1,1,5,1
134,20170111161052,1,2,2,2
135,20170111161091,-1,-1,-1,-1
136,20170111161104,1,1,5,2
137,20170111161126,1,2,1,2
138,20170111161164,1,2,2,2
139,20170111161171,-1,-1,-1,-1
140,20170111161218,1,1,4,2
141,20170111161245,-1,-1,-1,-1
142,20170111161258,1,2,7,2
143,20170111161261,-1,-1,-1,-1
144,20170111161268,-1,-1,-1,-1
145,20170111161316,-1,-1,-1,-1
146,20170111161321,-1,-1,-1,-1
147,20170111161394,-1,-1,-1,-1
148,20170111161409,-1,-1,-1,-1
149,20170111161414,-1,-1,-1,-1
150,20170111161435,-1,-1,-1,-1
151,20170111161447,-1,-1,-1,-1
152,20170111161480,-1,-1,-1,-1
153,20170111161489,-1,-1,-1,-1
154,20170111161522,-1,-1,-1,-1
155,20170111161525,-1,-1,-1,-1
156,20170111161571,-1,-1,-1,-1
157,20170111161639,-1,-1,-1,-1
158,20170111161690,1,1,6,1
159,20170111161701,-1,-1,-1,-1
160,20170111161734,-1,-1,-1,-1
161,20170111161754,-1,-1,-1,-1
162,20170111161816,-1,-1,-1,-1
163,20170111161933,-1,-1,-1,-1
164,20170111161947,-1,-1,-1,-1
165,20170111161952,-1,-1,-1,-1
166,20170111161967,1,2,1,2
167,20170111161977,-1,-1,-1,-1
168,20170111161980,-1,-1,-1,-1
169,20170111161998,-1,-1,-1,-1
170,20170111162011,1,1,3,2
171,20170111162071,-1,-1,-1,-1
172,20170111162104,-1,-1,-1,-1
173,20170111162173,-1,-1,-1,-1
174,20170111162209,-1,-1,-1,-1
175,20170111162238,-1,-1,-1,-1
176,20170111162239,-1,-1,-1,-1
177,20170111162242,1,1,2,1
178,20170111162244,-1,-1,-1,-1
179,20170111162265,-1,-1,-1,-1
180,20170111162281,-1,-1,-1,-1
181,20170111162352,-1,-1,-1,-1
182,20170111162442,1,1,1,2
183,20170111162448,1,1,2,1
184,20170111162458,-1,-1,-1,-1
185,20170111162478,1,3,1,2
186,20170111162487,-1,-1,-1,-1
187,20170111162503,1,1,4,1
188,20170111162516,-1,-1,-1,-1
189,20170111162520,-1,-1,-1,-1
190,20170111162526,-1,-1,-1,-1
191,20170112160001,-1,-1,-1,-1
192,20170112160010,-1,-1,-1,-1
193,20170112160018,-1,-1,-1,-1
194,20170112160040,-1,-1,-1,-1
195,20170112160052,-1,-1,-1,-1
196,20170112160056,-1,-1,-1,-1
197,20170112160063,-1,-1,-1,-1
198,20170112160106,-1,-1,-1,-1
199,20170112160107,-1,-1,-1,-1
200,20170112160109,-1,-1,-1,-1
201,20170112160121,-1,-1,-1,-1
202,20170112160124,1,1,1,1
203,20170112160507,-1,-1,-1,-1
204,20170112160509,1,2,1,2
205,20170112160515,-1,-1,-1,-1
206,20170112160536,-1,-1,-1,-1
207,20170112160539,-1,-1,-1,-1
208,20170112160545,-1,-1,-1,-1
209,20170112160551,-1,-1,-1,-1
210,20170112160554,-1,-1,-1,-1
211,20170112160560,2,-1,-1,-1
212,20170112160571,1,1,5,1
