,TUCASEID,TEWHERE,TUACTDUR,PEEDUCA,PTDTRACE,TRCHILDNUM,TRSPPRES,TRDPFTPT,TEAGE,TESEX,TEIO1COW,TUDIARYDAY,Telecommuting,Education,Race,NumChild,Married,Gender,Fulltime
1,20030100014427,2,495,40,1,1,3,1,21,2,4,3,0,2,0,1,1,1,1
2,20030100014758,2,266,41,2,4,1,1,39,2,4,5,0,2,1,3,0,1,1
6,20030101030074,2,657,39,1,0,2,1,23,1,4,2,0,1,0,0,1,0,1
7,20030101030093,2,461,39,1,1,3,1,25,2,4,2,0,1,0,1,1,1,1
8,20030101030173,2,410,40,2,2,3,1,42,2,4,2,0,2,1,2,1,1,1
9,20030101030501,2,135,43,1,1,1,1,46,1,4,6,0,3,0,1,0,0,1
10,20030101030611,2,260,42,2,0,3,1,43,2,4,5,0,2,1,0,1,1,1
11,20030101030638,2,490,43,1,2,1,1,37,1,4,3,0,3,0,2,0,0,1
12,20030101030947,2,465,40,4,0,3,1,47,1,1,3,0,2,2,0,1,0,1
13,20030101031035,2,610,43,1,2,1,1,34,2,4,2,0,3,0,2,0,1,1
14,20030101031047,2,641,39,1,1,1,1,46,2,4,6,0,1,0,1,0,1,1
15,20030101031073,2,840,43,1,2,1,1,45,1,4,5,0,3,0,2,0,0,1
16,20030101031074,2,725,41,1,0,3,1,26,1,4,4,0,2,0,0,1,0,1
17,20030101031095,2,605,43,1,0,1,1,54,1,4,3,0,3,0,0,0,0,1
18,20030101031171,2,190,43,2,1,1,2,31,2,4,4,0,3,1,1,0,1,0
19,20030101031299,2,575,42,1,0,1,1,52,1,4,6,0,2,0,0,0,0,1
20,20030101031400,2,375,39,1,2,3,2,32,2,4,6,0,1,0,2,1,1,0
21,20030101031414,2,515,40,1,2,1,1,46,1,4,4,0,2,0,2,0,0,1
22,20030101031468,2,465,45,1,0,3,1,42,1,4,6,0,4,0,0,1,0,1
23,20030101031494,2,590,39,1,3,1,1,39,1,4,2,0,1,0,3,0,0,1
24,20030101031567,2,285,43,1,2,3,1,38,2,3,3,0,3,0,2,1,1,1
25,20030101031634,2,450,43,1,1,1,1,29,1,4,3,0,3,0,1,0,0,1
26,20030101031676,2,447,39,1,2,1,1,36,2,4,2,0,1,0,2,0,1,1
30,20030101031761,2,565,44,1,0,1,1,56,2,5,6,0,4,0,0,0,1,1
32,20030101031849,2,413,43,2,1,3,1,36,2,3,6,0,3,1,1,1,1,1
34,20030101032030,1,362,43,1,3,1,2,37,2,4,3,1,3,0,3,0,1,0
35,20030101032050,2,440,39,2,0,2,1,28,1,3,4,0,1,1,0,1,0,1
36,20030101032093,2,730,43,1,0,3,1,36,2,4,6,0,3,0,0,1,1,1
38,20030101032099,2,460,41,1,1,1,1,46,1,4,6,0,2,0,1,0,0,1
39,20030101032100,2,250,41,1,4,3,1,33,2,4,4,0,2,0,3,1,1,1
41,20030101032233,2,509,40,1,3,1,1,39,1,4,6,0,2,0,3,0,0,1
42,20030101032274,2,465,39,4,0,3,1,48,2,4,4,0,1,2,0,1,1,1
44,20030101032443,2,503,46,1,0,3,1,34,1,3,6,0,4,0,0,1,0,1
45,20030101032499,2,480,39,1,0,1,1,56,1,4,2,0,1,0,0,0,0,1
46,20030101032563,2,380,43,1,1,1,1,30,1,4,6,0,3,0,1,0,0,1
47,20030101032591,2,460,43,4,2,1,1,42,1,4,2,0,3,2,2,0,0,1
50,20030101032641,2,795,46,1,1,1,1,45,1,4,6,0,4,0,1,0,0,1
53,20030101032734,2,474,40,1,1,3,1,43,2,4,6,0,2,0,1,1,1,1
55,20030101032771,2,565,43,1,2,1,1,39,2,5,2,0,3,0,2,0,1,1
56,20030101032824,2,410,42,1,0,3,2,53,2,4,6,0,2,0,0,1,1,0
57,20030101032839,2,525,43,1,0,3,2,55,1,3,4,0,3,0,0,1,0,0
60,20030101032907,2,535,40,1,3,1,1,29,1,4,6,0,2,0,3,0,0,1
63,20030101033116,2,755,43,1,0,1,1,43,2,5,3,0,3,0,0,0,1,1
65,20030101033144,2,555,43,1,0,3,1,52,1,5,3,0,3,0,0,1,0,1
66,20030101033223,2,731,45,1,1,1,1,38,1,4,4,0,4,0,1,0,0,1
67,20030101033276,2,570,42,1,0,1,1,47,1,2,6,0,2,0,0,0,0,1
68,20030101033375,2,480,40,1,2,1,1,41,2,3,5,0,2,0,2,0,1,1
69,20030101033379,2,435,40,1,0,3,1,52,2,4,4,0,2,0,0,1,1,1
72,20030101033512,2,360,44,4,1,1,1,38,1,3,6,0,4,2,1,0,0,1
73,20030101033561,2,570,43,1,0,1,1,58,1,4,3,0,3,0,0,0,0,1
74,20030101033614,2,572,44,1,1,1,1,34,2,4,6,0,4,0,1,0,1,1
75,20030101033624,1,575,39,1,1,1,1,24,2,4,4,1,1,0,1,0,1,1
77,20030111020586,2,475,39,1,0,3,1,26,1,4,3,0,1,0,0,1,0,1
78,20030111020592,2,485,38,3,1,3,1,28,1,4,4,0,0,3,1,1,0,1
81,20030111020709,2,570,41,4,0,3,2,57,1,4,6,0,2,2,0,1,0,0
86,20030111020890,2,595,33,1,1,1,1,51,1,4,6,0,0,0,1,0,0,1
88,20030111020928,2,475,44,1,1,1,1,49,1,4,3,0,4,0,1,0,0,1
90,20030111020955,2,390,44,1,0,3,1,48,2,3,2,0,4,0,0,1,1,1
93,20030111021141,2,340,39,1,1,3,2,53,2,4,2,0,1,0,1,1,1,0
95,20030111021210,2,515,39,1,0,3,1,31,2,3,3,0,1,0,0,1,1,1
96,20030111021273,2,496,43,1,2,1,1,43,1,2,3,0,3,0,2,0,0,1
97,20030111021289,2,614,35,1,1,1,1,32,1,4,6,0,0,0,1,0,0,1
98,20030111021306,2,475,44,1,0,3,1,50,2,1,4,0,4,0,0,1,1,1
99,20030111021332,1,225,37,2,0,3,2,58,1,1,5,1,0,1,0,1,0,0
101,20030111021374,2,480,40,1,0,3,1,30,2,3,3,0,2,0,0,1,1,1
102,20030111021396,2,470,37,2,1,3,1,42,2,5,6,0,0,1,1,1,1,1
103,20030111021402,2,495,38,2,0,3,1,36,2,5,4,0,0,1,0,1,1,1
104,20030111021412,2,490,35,1,3,2,2,42,2,4,3,0,0,0,3,1,1,0
105,20030111021446,2,477,40,2,0,3,1,55,2,4,3,0,2,1,0,1,1,1
106,20030111021453,2,560,39,2,3,2,1,31,1,4,2,0,1,1,3,1,0,1
107,20030111021498,2,440,44,1,2,1,1,37,1,4,2,0,4,0,2,0,0,1
108,20030111021527,2,240,40,1,2,3,1,35,1,4,3,0,2,0,2,1,0,1
109,20030111021540,2,490,43,1,2,3,1,42,2,4,2,0,3,0,2,1,1,1
110,20030111021660,2,600,39,1,2,1,1,38,1,4,3,0,1,0,2,0,0,1
111,20030111021662,2,415,39,1,1,1,1,34,1,4,2,0,1,0,1,0,0,1
113,20030111021766,2,550,39,1,0,1,1,45,1,4,3,0,1,0,0,0,0,1
114,20030111021796,2,290,43,1,0,3,1,25,1,4,5,0,3,0,0,1,0,1
115,20030111021807,2,465,41,2,1,1,1,33,2,5,3,0,2,1,1,0,1,1
116,20030111021887,2,710,41,1,0,3,1,30,1,4,5,0,2,0,0,1,0,1
